V(out)	I(R_load)
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
3.399425e+001	9.712644e+000
