V(out)	I(R_load)
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
3.493048e+001	9.980137e+000
