V(out)	power output	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
3.399425e+001	3.30174004e2	
